CI,Pearson,RMSE,Spearman,cmap
0.8477373073062157,0.7994592884188544,0.5057014928132685,0.7970486668815419,Product
0.859087218374249,0.7899006157557983,0.5078749761601918,0.8096331311865211,Product
0.8493933023683503,0.8211336579714691,0.4690659269818129,0.8072196252171263,Product
0.8584960634542664,0.8232588676739322,0.4520008490178098,0.8280747947416008,Product
0.838832018019381,0.7791915020535826,0.4889711110200246,0.8050734729297324,Product
0.8511459569840704,0.8304438564654043,0.4404016606575656,0.810128827277826,Product
0.845283767104671,0.8304092540059518,0.4519943139311117,0.8191722110307773,Product
0.8408341060530912,0.8166455234703381,0.49300129173458346,0.8184437889174228,Product
0.8422589676217601,0.8168439459870704,0.4735684085654526,0.8048685964135888,Product
0.8538454849423275,0.8271359403849652,0.4845711728409703,0.8191154142745575,Product
0.8557333870464632,0.8387565478565286,0.4685948470982817,0.8314751925147371,Product
0.8352328809924515,0.8095263533021627,0.4836405869034221,0.8111211879093974,Product
0.8495224440437656,0.809900373890005,0.4883627870942589,0.8143428974392596,Product
0.8526602457276827,0.8305027399852798,0.4996356342689034,0.8218511320630011,Product
0.8564461239743618,0.8273452684662524,0.4595368899219204,0.8134548676478913,Product
0.8500281714735523,0.8157622235830836,0.44353628569774467,0.8038694692868559,Product
0.8518447792977341,0.8162250511314041,0.5090213077704471,0.8367601623415103,Product
0.8431908016649613,0.8365933045217705,0.44755826601572196,0.8220702187375601,Product
0.8679957952872178,0.8558110814756165,0.44175136934290915,0.8488042623126243,Product
0.838052708286507,0.7602214731353398,0.5202608197222448,0.8038115180392613,Product
0.8369717931738049,0.8027729780596801,0.48228184866610174,0.8110365584658618,Product
0.8473986494292712,0.7948066896634831,0.49821604458877333,0.8127190213756408,Product
0.8479281371337253,0.8069679380799936,0.4827371724634735,0.8123129314272894,Product
0.8385517348710724,0.7886540226539563,0.5159282624533243,0.7863376808446129,Product
0.8547407392058131,0.7778255287239739,0.48038956548313116,0.818115136510915,Product
0.8634141563828067,0.8173042153140436,0.44787583032677875,0.8235048359145588,Product
0.8494850487451092,0.8114444175536933,0.44683661579753114,0.8195464775491832,Product
0.8392496429264039,0.8034080231761868,0.4675140411481074,0.8113445765465032,Product
0.8520970604921835,0.7760598412875583,0.4750266463567561,0.8107466453592832,Product
0.8505251184509861,0.8143039428712054,0.5160406931490937,0.8259332624929137,Product
0.8600441262326431,0.8392415782599122,0.4541233934040822,0.8217646803694052,Product
0.8338757691740222,0.8078545721266098,0.5035317588141242,0.8173759714715362,Product
0.8368822297838774,0.7891922583099887,0.5294650569151913,0.7911676417441024,Product
0.8448572827798833,0.80742880587106,0.4469512972777217,0.8212323646196796,Product
0.851518543549886,0.8343821094812748,0.4397643356842648,0.8335605985261104,Product
0.8656076533591884,0.8263900723282207,0.4527201867557196,0.8253725706121545,Product
0.8528937835968082,0.7964181938724312,0.5002131011340749,0.8205901912143704,Product
0.8638414454051961,0.8249746994637941,0.43126570670895653,0.8325825265690526,Product
0.8617615745485185,0.8298769597161044,0.4575567479084532,0.8314815768760823,Product
0.8569339606871821,0.8288405644961151,0.48542760980422206,0.8352838509349735,Product
