CI,Pearson,RMSE,Spearman,cmap
0.6994554929401492,0.5892929592488639,0.646484132233391,0.5119225213785185,Only Ligand Graph
0.6904494793958058,0.5621141018936168,0.6730635501128898,0.4962278645453708,Only Ligand Graph
0.7093685688859225,0.630798177374294,0.6553525411387762,0.5345317864982897,Only Ligand Graph
0.7115604886139161,0.6206902566783451,0.679896105951377,0.5459137269541867,Only Ligand Graph
0.7102088624222787,0.5577964785996262,0.6296296882366703,0.5207618825399548,Only Ligand Graph
0.6912354351787547,0.6468519008057665,0.6489314175500415,0.5162884580011383,Only Ligand Graph
0.7033692674422741,0.611111909132478,0.6517454820298201,0.5178756270567434,Only Ligand Graph
0.7036167204918474,0.5914322494258196,0.6481800891599995,0.5001436144392475,Only Ligand Graph
0.6755323177916175,0.5488102266865764,0.6678841610737468,0.44997023277497994,Only Ligand Graph
0.6785479726280408,0.5956296249684749,0.6437013878841417,0.48675455307726007,Only Ligand Graph
0.6750613145253749,0.6037849493118569,0.6256301394906444,0.4655736998707858,Only Ligand Graph
0.7248481205648941,0.6068130178014502,0.6697426698933823,0.5423077338847263,Only Ligand Graph
0.7142760556940285,0.5927152668967912,0.6284507556431683,0.5103784969329681,Only Ligand Graph
0.6935292276613604,0.5724707480892598,0.6604036344149041,0.49121617677617135,Only Ligand Graph
0.7052671089739689,0.6433203382522262,0.6331363459831522,0.5537110477449493,Only Ligand Graph
0.7209436991170737,0.5744824502325442,0.6992279417750806,0.5275745441356613,Only Ligand Graph
0.7040880941830377,0.5705678523377676,0.6546464214865318,0.5209688097878995,Only Ligand Graph
0.679830432842481,0.5761691436506621,0.6590796945572551,0.46516183117116316,Only Ligand Graph
0.6646542516486352,0.5729247089525182,0.6355454141864745,0.47150425318557393,Only Ligand Graph
0.723974513162014,0.6106015695042281,0.6579028589780331,0.5362185192877832,Only Ligand Graph
0.6782615624995345,0.5924931323655752,0.654915085339456,0.49955719562364687,Only Ligand Graph
0.6973834683720685,0.6474714169542423,0.6861933562267252,0.524268377664236,Only Ligand Graph
0.6824284468608944,0.5339160822436518,0.6972874273016559,0.4927071200203547,Only Ligand Graph
0.6986161086159369,0.635167357880707,0.6101437846117124,0.533155879412409,Only Ligand Graph
0.6971384114859608,0.6420715345270374,0.6051921903242362,0.5425139470632353,Only Ligand Graph
0.7119463430143043,0.6067930913247772,0.6354259390780683,0.5335648482251966,Only Ligand Graph
0.7031950139086603,0.6022742419428568,0.6212423307446365,0.5064651470920826,Only Ligand Graph
0.663284496487388,0.5373958511687937,0.6678489828496712,0.4396969052313137,Only Ligand Graph
0.7053569423390039,0.5886444718134249,0.6783273359144126,0.5254614871329873,Only Ligand Graph
0.6732086802044175,0.5428421413357597,0.696292803865379,0.4631620637965877,Only Ligand Graph
0.6944800163728327,0.6221725136857406,0.6724027857193763,0.5132535481733215,Only Ligand Graph
0.693109758422183,0.5774016087992762,0.6675682578994052,0.49625888224421977,Only Ligand Graph
0.689600327799544,0.6015697486668338,0.6578066911595605,0.5095336343250486,Only Ligand Graph
0.6605334257404544,0.5417284376460957,0.6649709281855155,0.4178960877189826,Only Ligand Graph
0.6930109302440113,0.5839915215477584,0.6424251784512317,0.4808021702754419,Only Ligand Graph
0.6903819802055734,0.6357867715958135,0.6502632771024636,0.535797986203092,Only Ligand Graph
0.6679566148901982,0.601062236223534,0.6398178327627994,0.49657999684229304,Only Ligand Graph
0.7056777101494199,0.649870072535235,0.698443182065475,0.5050604292821084,Only Ligand Graph
0.6772497163306276,0.5758243171024876,0.6513861423857211,0.4664539976318509,Only Ligand Graph
0.6790597712288483,0.6026656170552334,0.6817427986683091,0.48509860201431604,Only Ligand Graph
