CI,Pearson,RMSE,Spearman,cmap
0.8610147412635749,0.8175418789104792,0.46429443538263565,0.6565783195558749,KLIFS
0.8683781378353427,0.8192857643739241,0.49454517491379724,0.6621959478421638,KLIFS
0.8469804891407149,0.8172790360763038,0.49479474018584774,0.6360977455034981,KLIFS
0.8686346823501379,0.8057514547782735,0.4872801073415804,0.6442066703351369,KLIFS
0.8801486240662615,0.8180162515309762,0.4616071701293723,0.6520382338420171,KLIFS
0.8479202536142768,0.7586259852991558,0.539476753246137,0.6050578459536854,KLIFS
0.8719252954357625,0.8346698860759906,0.4760037217333732,0.6297004560965322,KLIFS
0.8736432037393872,0.80165565993148,0.5037506855559928,0.6592489686302262,KLIFS
0.8710737153961327,0.7954686825866942,0.4944568478457467,0.6570729729598307,KLIFS
0.8835655633470189,0.8185592410037096,0.5021571036752679,0.6467221171220262,KLIFS
0.8736189122564332,0.8315941103102485,0.4693359343410634,0.6868617426879448,KLIFS
0.8815906663114871,0.811404945275254,0.4819910615013104,0.6403525119147487,KLIFS
0.8760418479627159,0.8268294262132776,0.50552432334821,0.6666277800832696,KLIFS
0.8689963887633049,0.8253676952783465,0.47704105605122443,0.664251229614539,KLIFS
0.8730438865412765,0.7942361048235367,0.4966674081347908,0.6486913274060436,KLIFS
0.8717875623754526,0.8035372433422042,0.5038650475918017,0.6541921746549594,KLIFS
0.8763936672363043,0.8088606803802255,0.5282082320012057,0.670655137216122,KLIFS
0.8782945186772553,0.7896861986139507,0.4777296211189362,0.661838899318071,KLIFS
0.8861724133207304,0.7869038298024277,0.48328294682797895,0.6358952554527563,KLIFS
0.8558995808927069,0.8034160290400454,0.5010293118562236,0.6122753125176925,KLIFS
0.8670187956697134,0.8158598841198564,0.47777210426651173,0.6526459011395298,KLIFS
0.8716455255723009,0.8404238829843923,0.4590137361867144,0.6538560299645303,KLIFS
0.8648831508327773,0.7807068022013596,0.5365762272294773,0.6238947792016146,KLIFS
0.8933715040082196,0.8009612744296938,0.49121769423862677,0.6449719889310911,KLIFS
0.8540128417462816,0.7748447110288718,0.5117889569614285,0.6492404766393453,KLIFS
0.874131167848049,0.8103008903850372,0.5032044968154445,0.6696740390437091,KLIFS
0.8674763648797742,0.8048067562132161,0.49891234745897056,0.6642093341699428,KLIFS
0.8618348957316146,0.7808781634408567,0.5217954869526703,0.6424911480630013,KLIFS
0.8821051264618934,0.7914702867166468,0.5120290745762058,0.6721631450981501,KLIFS
0.8667346890906106,0.7976158642654521,0.479464782446035,0.6337984874078937,KLIFS
0.8794211565493649,0.8272117338896328,0.4927017986732567,0.6700840618592445,KLIFS
0.8754014155178789,0.8021769154214032,0.508295351188957,0.6857483968879693,KLIFS
0.8664830286611879,0.8153425152930179,0.46889200647802176,0.640478979928215,KLIFS
0.875417345036691,0.8007598348333945,0.49656053062815503,0.6452935564888643,KLIFS
0.8706611592172843,0.7880511630249142,0.49729063863330975,0.6425219239416117,KLIFS
0.8648050209079825,0.7983323715453138,0.528052742459213,0.6601861964005002,KLIFS
0.8799207464418398,0.832148172714167,0.4533116152469549,0.6627710419559031,KLIFS
0.8820646509578914,0.792066173953136,0.5194452399064572,0.6623908612249158,KLIFS
0.859767209058289,0.8075646094695141,0.5020701100837024,0.6443926966405096,KLIFS
0.875626591185819,0.8179595971241903,0.49675385957475093,0.6617600453286925,KLIFS
