CI,Pearson,RMSE,Spearman,cmap
0.6094706401346696,0.140560255290325,0.9256632930206116,0.2706776456533717,Random Ligand Graph
0.6118225048699438,0.1561371189379201,0.9493933664492368,0.2873838392435512,Random Ligand Graph
0.6204103193710971,0.1882324682247945,0.8812601136118751,0.3284691238692812,Random Ligand Graph
0.6321972283876843,0.1961866831676479,0.8540876904252318,0.3556799006524493,Random Ligand Graph
0.6182351858053984,0.1692739209288862,0.8856256448186216,0.3154607352832265,Random Ligand Graph
0.6428016065637149,0.195426395365972,0.9348943800610536,0.3375598282276397,Random Ligand Graph
0.6058496312198199,0.1942612626177267,0.871903950239146,0.3294433336406367,Random Ligand Graph
0.6076057106841791,0.1943589940040957,0.9253824310745388,0.3249476703654441,Random Ligand Graph
0.6164810667914106,0.1777537813925928,0.9427524468350478,0.3205847763932292,Random Ligand Graph
0.6358130160028118,0.1903006112450644,0.8944728271708127,0.3218205619200915,Random Ligand Graph
0.6286088346793666,0.1901661571265815,0.8871921019651565,0.3479294302416726,Random Ligand Graph
0.6324361390800326,0.2146403189208797,0.8656266058191681,0.3481254593721263,Random Ligand Graph
0.627836520306224,0.1645582930299406,0.8789793836977534,0.3227757458430104,Random Ligand Graph
0.6403726610394364,0.2223342935703372,0.8821428311205631,0.3671010087857083,Random Ligand Graph
0.6077927853052202,0.1721938698761173,0.9097001858268702,0.3019759049011206,Random Ligand Graph
0.6176757481842007,0.1543967406865784,0.944807839590171,0.291885027779896,Random Ligand Graph
0.6080617398910805,0.1695942659552954,0.930569951550234,0.3099514609358303,Random Ligand Graph
0.6309444430724652,0.1715722824575815,0.9533521080575128,0.3215212931514204,Random Ligand Graph
0.6493662312933101,0.2141235053272838,0.8868754119198176,0.3615514111362032,Random Ligand Graph
0.6271953648379505,0.1885185923330878,0.8701343480529449,0.3394026609315925,Random Ligand Graph
0.613324410368265,0.131327345351879,0.9341949808495712,0.293353505413417,Random Ligand Graph
0.6305540632183402,0.1743155741601762,0.9057426940132012,0.3245432064001821,Random Ligand Graph
0.6146449240398324,0.1929510510269564,0.8784216679583899,0.3077074003445054,Random Ligand Graph
0.6316715143402744,0.1713797688536749,0.9088791853058068,0.3102854161448153,Random Ligand Graph
0.6201773573250859,0.1752670037353193,0.9403306932422778,0.3155579081457262,Random Ligand Graph
0.6163288704838273,0.1620885722809378,0.9383851629821368,0.3095980411168521,Random Ligand Graph
0.6136522326136588,0.1710798795258159,0.909040469613884,0.300923217870244,Random Ligand Graph
0.6223518539270659,0.1920678325825789,0.8880170302420782,0.3198034186985598,Random Ligand Graph
0.6180170563698397,0.1741865776124022,0.9312351864878804,0.3151895539442592,Random Ligand Graph
0.6312482188085786,0.2000191106444454,0.8955848468522319,0.3318009866200767,Random Ligand Graph
0.6147223780546122,0.1730636888306832,0.8751806021414558,0.3196954096527081,Random Ligand Graph
0.6116307219073557,0.159186425802946,0.9287747551195156,0.29464183650752,Random Ligand Graph
0.6301275923110506,0.1819386108490099,0.9031134741050858,0.3238413887546943,Random Ligand Graph
0.6075459998134216,0.1565993186492433,0.906943872264272,0.3112525736583746,Random Ligand Graph
0.6059371684470218,0.1770550094263678,0.9069481401779594,0.3195766595431739,Random Ligand Graph
0.6260661495117904,0.1842593109678026,0.8760568667633902,0.3312817995224685,Random Ligand Graph
0.6201724881043921,0.1910795511143661,0.8789992728539233,0.3187821917622082,Random Ligand Graph
0.6260124810784565,0.194210762477982,0.9188586321566335,0.3265597442986644,Random Ligand Graph
0.6172011017385826,0.1487876396114718,0.9409613723793672,0.3094291371436278,Random Ligand Graph
0.6115169351236304,0.1511040548409027,0.9330454369539104,0.3024114564556152,Random Ligand Graph
