CI,Pearson,RMSE,Spearman,cmap
0.8366156679292708,0.7809212926742369,0.4975794401666218,0.8009839777520765,Pconsc4
0.8422618651598013,0.8093814435229555,0.4990850818836965,0.8182607370197404,Pconsc4
0.8555468808882859,0.818041903347608,0.4558871211620237,0.824221065866495,Pconsc4
0.8540097430628091,0.8191398993803359,0.4940768424586086,0.821747053909268,Pconsc4
0.8648838548385921,0.8464819361576655,0.4399874016754481,0.8435455118458322,Pconsc4
0.840820993704361,0.777198808418618,0.4977234500761007,0.7966054399936735,Pconsc4
0.8556277319262557,0.8339734918890009,0.4477340692783979,0.8307677295228976,Pconsc4
0.8506952836725158,0.8345273859249837,0.4589802840572672,0.8128481378630971,Pconsc4
0.8566493731085171,0.8440472827472542,0.4419420526309374,0.8302967655147085,Pconsc4
0.8370396524883533,0.7956814417551102,0.463916636331432,0.7998798523259788,Pconsc4
0.860150066333873,0.8399527076929676,0.4663078475453413,0.8334004039468706,Pconsc4
0.8521446495328813,0.8380923783668649,0.459996403378814,0.8182025876028245,Pconsc4
0.849084007901158,0.804616677698282,0.4840286243029865,0.8160438562091165,Pconsc4
0.8558647867488013,0.8387319862498668,0.4531491547733306,0.8117968905118403,Pconsc4
0.8543664143828011,0.822295371459222,0.4666365226976633,0.8196149777162024,Pconsc4
0.8322298583271146,0.7677708304758913,0.4935986642771796,0.783280805657052,Pconsc4
0.8487258695901573,0.809751715678591,0.4688043445625406,0.8136927471668488,Pconsc4
0.8572601151667211,0.7868302107200025,0.4864918578285484,0.8082566332763625,Pconsc4
0.8596564454769163,0.8319989682069884,0.4444849746810531,0.8333738270894752,Pconsc4
0.8552914176658555,0.8206603419385899,0.4855394163125976,0.8240858979777377,Pconsc4
0.8463418252723495,0.836294961755948,0.4723596823866661,0.8044736572608387,Pconsc4
0.8498224485965963,0.8323850610584232,0.4674225136252888,0.8146468092647031,Pconsc4
0.8562344066330088,0.8208251454538527,0.4613686209440053,0.8199951870062857,Pconsc4
0.8356815706132474,0.8029716785014841,0.4824947954776257,0.8067569290001227,Pconsc4
0.8438432596489597,0.8193202640642333,0.5091030247202314,0.8057043148138825,Pconsc4
0.8563306127206411,0.7981527399268495,0.4872756293097076,0.8220275446679309,Pconsc4
0.833309896291088,0.8062473412566015,0.4592173557021832,0.7910633370702542,Pconsc4
0.8490403176560135,0.8328785639601956,0.4410106061663947,0.8119486152948476,Pconsc4
0.8284316248113078,0.8164948372583062,0.4798425831030777,0.7892912691574671,Pconsc4
0.841361203030574,0.8003550540608558,0.503480677942788,0.794513844212891,Pconsc4
0.8567314097716036,0.8212446870880464,0.4573839197836573,0.8309157188551307,Pconsc4
0.840203981657014,0.8074839783675044,0.4548494921981542,0.8225408676277186,Pconsc4
0.8525836799323793,0.8134945526446479,0.4894422215247196,0.8280078639202647,Pconsc4
0.8349627487581676,0.8097407621514799,0.471766059983937,0.8115571781794434,Pconsc4
0.8684036028458276,0.792116808365591,0.4750998338390457,0.8164015302245219,Pconsc4
0.8535981126377113,0.8012508160764105,0.4713514073074956,0.8236727450011574,Pconsc4
0.8557651691374741,0.8326283793246382,0.4499790071968135,0.8328427044210235,Pconsc4
0.8565384476348581,0.794361195631092,0.5162957843384216,0.8080421078170401,Pconsc4
0.8624145826866586,0.833361357310311,0.4489803566742765,0.819359242316665,Pconsc4
0.854091335790279,0.8082305862910589,0.4815082802884361,0.8062777728190856,Pconsc4
