CI,Pearson,RMSE,Spearman,Encoding
0.8861747470085050,0.8159420369412410,0.4837060896012460,0.6909030571494960,Original Ligand Graph
0.8762011632317610,0.8122507438367900,0.4963983672427560,0.6891066807055120,Original Ligand Graph
0.8695359121471670,0.7926375251959820,0.515573690718177,0.6701115737067410,Original Ligand Graph
0.8856695099976010,0.8074115922950630,0.5136469494798590,0.6956634632752730,Original Ligand Graph
0.8750345050001500,0.8267422073986400,0.4775146205077650,0.6849477656282620,Original Ligand Graph
0.8718167972705070,0.8092046677418700,0.47880086604013600,0.6356090117111890,Original Ligand Graph
0.8948620715294820,0.8248387208857070,0.4784325713248750,0.6981699845324070,Original Ligand Graph
0.8941741400959330,0.8381197377468000,0.4571785808684910,0.6881360459102960,Original Ligand Graph
0.8519696067688790,0.7885366627780590,0.5151404613137400,0.644920179496785,Original Ligand Graph
0.8787161151183070,0.8203899298341490,0.5114281769505040,0.6718466934398460,Original Ligand Graph
0.8753235908141960,0.8007462598062390,0.5056855505307370,0.667830215748347,Original Ligand Graph
0.8831661224225750,0.8376491530380420,0.45066221703361100,0.6849001318180440,Original Ligand Graph
0.8857711601443660,0.8270875580221350,0.4995931411036860,0.693782260950844,Original Ligand Graph
0.8891082171841350,0.8527429244927160,0.4556897857358490,0.7033118588681730,Original Ligand Graph
0.8832328748703870,0.8206154732950810,0.5013638516127930,0.6998598962651780,Original Ligand Graph
0.8909734768737650,0.8076274282431630,0.5089681392573490,0.6857950283774330,Original Ligand Graph
0.8791788702537100,0.8261220492471780,0.5109402509646710,0.7009813583226410,Original Ligand Graph
0.8731383698889790,0.8074439104784210,0.4898691651774800,0.6793591165900930,Original Ligand Graph
0.882611683277502,0.7853426386830070,0.49495849860182300,0.6768893048066360,Original Ligand Graph
0.880200193495572,0.8351070419066790,0.47357430094257500,0.6809916585016300,Original Ligand Graph
0.881529069678932,0.8151090551345780,0.507434149336425,0.6985375242106700,Original Ligand Graph
0.8975113384970360,0.8338936938590110,0.4798491533622290,0.6993214994115020,Original Ligand Graph
0.881226317352905,0.8147604906903360,0.4990183905850540,0.7188331408767230,Original Ligand Graph
0.8859005403926400,0.8347802395665400,0.4666136883294440,0.6944625489466730,Original Ligand Graph
0.8846254127124750,0.8354779886919230,0.47522890557065300,0.6958028436623130,Original Ligand Graph
0.882588802928209,0.8141279774002750,0.47448232205480100,0.6805904669417210,Original Ligand Graph
0.8850412468726760,0.8312798056049750,0.4817121780865840,0.665824380020716,Original Ligand Graph
0.8770487561050690,0.8129959849261210,0.4715340961481670,0.6554513480414380,Original Ligand Graph
0.8883803784072000,0.8100083806847600,0.4683839068627140,0.6798589198034910,Original Ligand Graph
0.8925231007401910,0.8269879322977540,0.4891746820975850,0.6905982180336320,Original Ligand Graph
0.8815557630628070,0.8347182661189370,0.4677471494619440,0.6817071492240080,Original Ligand Graph
0.8686862881928770,0.8119606208478520,0.4866838448064350,0.6797574616654150,Original Ligand Graph
0.8958787108744760,0.8272176832537210,0.47726688772091600,0.7038855239903470,Original Ligand Graph
0.8685553210922490,0.7852793964121090,0.5123151884940780,0.6779657196189170,Original Ligand Graph
0.8874904590999890,0.8501373440499240,0.46393507715701100,0.69064138184036,Original Ligand Graph
0.903277212787699,0.8485681911216530,0.47533447956868900,0.6979765549145160,Original Ligand Graph
0.8776068049581200,0.841964083828794,0.4723845079843000,0.6669169642717710,Original Ligand Graph
0.8776881494787380,0.8282080212880180,0.46437461769786500,0.6777146294476240,Original Ligand Graph
0.8860419619772670,0.8272632164946510,0.4664458755066410,0.6786994080266530,Original Ligand Graph
0.8778887242978970,0.7867770995134990,0.5082154322308740,0.6581771452801490,Original Ligand Graph
