CI,Pearson,RMSE,Spearman,Encoding
0.8538252391556370,0.7497435626907400,0.53865997270362,0.6416812776621460,Point Randomization Ligand Graph
0.856497046295547,0.7777705429970170,0.5665539986322230,0.6603130345518180,Point Randomization Ligand Graph
0.8561016850329430,0.7522608553392480,0.534702282132978,0.6314777818071000,Point Randomization Ligand Graph
0.8652288392842170,0.7845203115339190,0.5376263187653260,0.6505937813678040,Point Randomization Ligand Graph
0.8575205992509360,0.7593229395174520,0.5576543189111180,0.6445578991027910,Point Randomization Ligand Graph
0.860173498225707,0.7535801068103990,0.561929390435306,0.6339999705283060,Point Randomization Ligand Graph
0.8322756815544490,0.724897334002648,0.582754598479586,0.6163837717613800,Point Randomization Ligand Graph
0.8542246629886460,0.7453462801774130,0.5658364489767620,0.6292677762080590,Point Randomization Ligand Graph
0.854491890906882,0.7412720484877040,0.5584496777280620,0.6311525859883450,Point Randomization Ligand Graph
0.8636902710774180,0.7501951062625300,0.5404898367841940,0.6250843714162110,Point Randomization Ligand Graph
0.8563550937812680,0.7448369916159930,0.5715164673109020,0.6353234729445560,Point Randomization Ligand Graph
0.83438344883309,0.7484765433747410,0.5531314766000220,0.6209566849901220,Point Randomization Ligand Graph
0.8557510765154030,0.7521125296446130,0.562764634716993,0.6126536446379170,Point Randomization Ligand Graph
0.8515280919751270,0.773524691753004,0.5305307349677450,0.6453871437815710,Point Randomization Ligand Graph
0.8554419230598040,0.7715074992950690,0.529948356390254,0.6419382060842990,Point Randomization Ligand Graph
0.8728471519728590,0.7616583771336570,0.558020706842787,0.6499078893014980,Point Randomization Ligand Graph
0.8666095172476410,0.7707853428805530,0.5405296801969220,0.6396724541046390,Point Randomization Ligand Graph
0.8604470368443310,0.7726988913397440,0.5187150807829730,0.6228995919931910,Point Randomization Ligand Graph
0.8497296535465360,0.7574522333573910,0.5517651510881540,0.6340117750952570,Point Randomization Ligand Graph
0.8450844604190230,0.7604133196059670,0.5547318566662100,0.6248485038855160,Point Randomization Ligand Graph
0.8768469291235850,0.7748192492019060,0.5362110666185460,0.6521381700916000,Point Randomization Ligand Graph
0.8570616700427640,0.7432414845494730,0.49912755504295600,0.6107937600344120,Point Randomization Ligand Graph
0.8387960778510010,0.7521442290371340,0.5266098937246840,0.59228925999801,Point Randomization Ligand Graph
0.8523696923258610,0.7720379941456520,0.5303079654577380,0.6420828360586800,Point Randomization Ligand Graph
0.8496199024007460,0.7495448003541540,0.5775746466496940,0.6363110053938850,Point Randomization Ligand Graph
0.8491614713629570,0.7431347168881920,0.5567456868566180,0.6217368300345200,Point Randomization Ligand Graph
0.8535659405224620,0.7791392697095030,0.5285331944025080,0.6437194713177750,Point Randomization Ligand Graph
0.8770456096351080,0.7783496996912330,0.5635492712900860,0.6581464118683390,Point Randomization Ligand Graph
0.8716073316884030,0.8089243403494180,0.4743980463473720,0.6599895317789110,Point Randomization Ligand Graph
0.8676870096041680,0.7853437089615220,0.540019777794801,0.6549879080842160,Point Randomization Ligand Graph
0.8592054624456860,0.7667133766007740,0.5338819089570890,0.618607284412081,Point Randomization Ligand Graph
0.8388874047391300,0.7619965505528970,0.5539744820499690,0.6076597811511960,Point Randomization Ligand Graph
0.8663212540355200,0.7729505708617440,0.5395029926024910,0.6498210314886480,Point Randomization Ligand Graph
0.8660115085124610,0.7845536897813220,0.5069801420262810,0.6414881069134030,Point Randomization Ligand Graph
0.8490930511884820,0.7712795765176480,0.5070062502085550,0.6261922837401930,Point Randomization Ligand Graph
0.8592365992767000,0.7547116895802930,0.5683554203660090,0.6407983028982050,Point Randomization Ligand Graph
0.8609523809523810,0.7569223699214600,0.5281026657668210,0.605738580187853,Point Randomization Ligand Graph
0.8334184786657730,0.7551977557123150,0.5566104258095330,0.6270869862444800,Point Randomization Ligand Graph
0.835349244243775,0.7300845663988510,0.5780613454473960,0.6349449763312320,Point Randomization Ligand Graph
0.8475813530669710,0.7576427018083870,0.543542909993845,0.6269615197609140,Point Randomization Ligand Graph
