CI,Pearson,RMSE,Spearman,Encoding
0.8733504324678580,0.821919374819148,0.4810965518294280,0.6444915279243710,Product
0.879109255516031,0.779758278516406,0.522525095439801,0.6409244043207220,Product
0.8945347055904370,0.8199464602756810,0.49550591658908800,0.6845589268361610,Product
0.8899524938064610,0.8364540307036790,0.4661369450943860,0.6670907726466520,Product
0.8821905831326130,0.7893296374019690,0.49328490622283000,0.6375878940555600,Product
0.8822099964530180,0.8206589054787520,0.4716835892368930,0.6710412503975840,Product
0.8806590104991830,0.7864353160488730,0.488223321576503,0.6761495311969220,Product
0.8794226680858320,0.8109869784461150,0.46693168111329800,0.6555234380656870,Product
0.874619570344112,0.8124742154509920,0.4857769440706080,0.6726084931785620,Product
0.8713655670375140,0.8104459656806120,0.47604613029010100,0.6582143349015500,Product
0.8730758444267960,0.7915353907878640,0.5209103662844570,0.6608113812889480,Product
0.8739409788947750,0.7985562249524520,0.48982464728962100,0.666713308332802,Product
0.8684734413175280,0.7901642122914760,0.5054728526600370,0.6618026169681970,Product
0.8799223854651920,0.8182770028641420,0.5044527967775430,0.6776162853044730,Product
0.8813249959200500,0.8082716167804560,0.48824192417127000,0.680474240251101,Product
0.8852298047509350,0.8124620260073980,0.5127510758980940,0.6664945380570120,Product
0.8948147596262630,0.8088858886743340,0.4769931270812950,0.6735360469844010,Product
0.8530230380270010,0.7984170188122380,0.5152681613726560,0.6696414161420960,Product
0.87017899596287,0.8339208137114330,0.4528888137916750,0.6708142816505790,Product
0.8910037347478900,0.8440375811601110,0.45522995077562200,0.6546446516734870,Product
0.8804871955028110,0.8212728336140320,0.4899620981933440,0.6591474900526510,Product
0.8753959142463990,0.8115879766416950,0.491653225192696,0.6606828307965580,Product
0.8811134904776690,0.7996056256261020,0.5161206016444990,0.6674346596306740,Product
0.8865323577264690,0.8327277994835620,0.46916072239513300,0.6703004572630990,Product
0.8884656888213900,0.8063399462035430,0.4896067037555620,0.6729376539471520,Product
0.8683917663677720,0.7687345558943830,0.539000061362091,0.6591145983841990,Product
0.8854816295612850,0.8447110518959970,0.47933051478966500,0.6911803610816480,Product
0.8755917391942730,0.8093240950023430,0.4917550432406620,0.6656800325005800,Product
0.8755912602493010,0.8347294999971970,0.48825299192067200,0.6963672901691160,Product
0.8691387897988540,0.8299953688274930,0.48365798588475100,0.6624930896056770,Product
0.8709366245214160,0.8149415365623430,0.5053786056618470,0.6702134162332340,Product
0.8908675168070350,0.8346971115065360,0.4862902658310980,0.6971843334201790,Product
0.85138308474147,0.7718242287440040,0.5132095369450840,0.6457832745789970,Product
0.876842333803746,0.8124593098731950,0.4857076219451050,0.6480049419488540,Product
0.8733221766213760,0.8145815831537250,0.48674300515309700,0.678110872972448,Product
0.8777953508423390,0.822807397719607,0.4983756056094290,0.6690014490265020,Product
0.8734734705920450,0.8001519066932400,0.5277046835673590,0.6607580288859320,Product
0.8760817479176810,0.8276786966681810,0.4830337579739470,0.6768176216399880,Product
0.8862029753304440,0.8095730947104430,0.5084171110654020,0.6837213144268740,Product
0.8832291570681160,0.8189973668120900,0.4931459736650210,0.6841223146982620,Product
