CI,Pearson,RMSE,Spearman,Encoding
0.8760175620117480,0.8023758899427890,0.4978367711575970,0.6647878879662190,Concat
0.8684425285019050,0.8095334060684300,0.5028464351585160,0.6723995593988740,Concat
0.8610234995628360,0.8221292180051150,0.4656378370368070,0.6680846532027250,Concat
0.8678187022246600,0.8051885480899040,0.47401453760887700,0.6450686803166170,Concat
0.8777812597931680,0.8353620365685840,0.481271720397277,0.6883271984450390,Concat
0.8925628187136530,0.8205334413567270,0.45542723326644000,0.6768374745693780,Concat
0.8971066445748620,0.837104859235852,0.48132852685632400,0.6914200745538280,Concat
0.8893076719619560,0.8166171883541150,0.4793841743569650,0.6636557292829800,Concat
0.8804363350229460,0.7932648038810130,0.5028339784194430,0.6730814394656570,Concat
0.8832808032448970,0.8063497117803430,0.5323134096072890,0.6850576126417660,Concat
0.8976997257858900,0.8374516612145730,0.4906533330259410,0.6901661353178090,Concat
0.8919973105339970,0.8343446252265720,0.46279322199592200,0.6839903944655450,Concat
0.8677474833664280,0.8142838110586240,0.4971316301513670,0.6722399925965070,Concat
0.8951155099551610,0.8267364175825250,0.4668560288659390,0.6934505531531760,Concat
0.8833636211214050,0.8454042378119190,0.4499325292988740,0.700285046800501,Concat
0.8907238627617780,0.8017320943531290,0.494395985636438,0.6773678942850840,Concat
0.8792808530771190,0.7954215941591520,0.48988005772682200,0.677102763182944,Concat
0.8835892192417680,0.8130221884962500,0.4864737141103460,0.675284249971984,Concat
0.8963698188098030,0.8466570762670250,0.46485221898010700,0.6950131187441440,Concat
0.883368359342008,0.8265678963015890,0.493763215703445,0.6891870104680730,Concat
0.8645876947640500,0.8045875987733030,0.488045713238477,0.6491869233342940,Concat
0.883978806640522,0.82957133319883,0.5095018671098730,0.7025563476287120,Concat
0.8685021927920680,0.8161263671342880,0.469699918692639,0.6675021689754550,Concat
0.8892021650866110,0.8215593816810560,0.47843601849097200,0.69526758729156,Concat
0.8972236677049000,0.8276045056728720,0.49386546960308100,0.7123363487027640,Concat
0.8786689528164100,0.8231190874060100,0.49274342225746600,0.6897596300473030,Concat
0.895031006833353,0.8143128624312980,0.4705307136896560,0.6781102759452830,Concat
0.8832914714825770,0.8143670402616980,0.5125822616833230,0.6938492146115570,Concat
0.8869160536097100,0.8298899767037560,0.4787013843142110,0.6918040149820640,Concat
0.8971453827505530,0.847772599112426,0.4606023727743140,0.7099389816642580,Concat
0.8879849927758620,0.8259193781150950,0.47822543399062500,0.6757835024170570,Concat
0.9007304678036390,0.8244250704229640,0.4705096179951750,0.6723962736317900,Concat
0.8947249279927120,0.8551506882689640,0.44411619345501700,0.6903010905791530,Concat
0.8885338224362500,0.824227854991692,0.46173606598383000,0.6828753559194500,Concat
0.8774925681595240,0.8193499952419110,0.4967057171953910,0.6835790468972310,Concat
0.8876820797828260,0.8160936908126200,0.5005411792606080,0.6892872910825140,Concat
0.8619451082081390,0.810224878744047,0.4706682967182060,0.6587047920389580,Concat
0.8712285365953610,0.7901675017628100,0.5279484291020370,0.6807671877854960,Concat
0.8925679974550660,0.8376452300609120,0.47836452087723700,0.6848768750092050,Concat
0.8848423741345700,0.8110427421173320,0.49393259045470900,0.6944773054267820,Concat
