ci,pearson,rmse,mse,rm,spearman
0.8615346849819572,0.8245958088714485,0.4706926873501365,0.22188316619342427,0.6265945677670747,0.8274389902452843
0.8521787652817937,0.8184223129584511,0.4921030334330078,0.24219134093965836,0.6228874459246991,0.822310648297839
0.8574623372824338,0.8317092785909268,0.458915650352008,0.2108414576753931,0.6708846907404528,0.8287724100840547
0.8585250341284111,0.8092837054737688,0.4810800732941471,0.2315560519182418,0.6298665634242049,0.8254220988705407
0.8576966530447674,0.8189763353218922,0.47254627150550954,0.22336447909661702,0.639120702022044,0.8272407892599037
0.8496885278291088,0.827596225274927,0.4532913299812252,0.2056424890119882,0.6574923400464316,0.8120670021312922
0.853735733564471,0.801176943407046,0.47370219298210503,0.22464673506839916,0.6185290315079227,0.8254527327534912
0.8377680604977252,0.8143856450506161,0.45644918342723884,0.20839298170499554,0.6543573026237813,0.8005525329331743
0.8403129780578578,0.8020410908888603,0.471999241770742,0.22287595382462144,0.6354421900273078,0.8139311772784095
0.8382942668739553,0.7818801453212864,0.512408064014798,0.2627396107224176,0.6086320608604318,0.7819520888768438
0.852052432995056,0.8287905550734856,0.46942849268502096,0.22051252798705653,0.6517452341184097,0.8208305050727516
0.8531152150848348,0.8375171924785167,0.45994044465875156,0.21155404586670992,0.6600355920578672,0.8301972912599728
0.8577815912334733,0.8134337223031632,0.4726131124878756,0.2234740328844211,0.6253828460474824,0.8205778251885903
0.8494252542382185,0.8286545511200648,0.45421321094627914,0.20654446965896223,0.6385104803640177,0.8250209288394088
0.8628141364813854,0.8352799513037663,0.4276207569102161,0.18286654886746737,0.6817432256597096,0.8306028131265789
0.8464346172378358,0.8287083806629454,0.4714699954254968,0.22229764429314222,0.635435742990928,0.8195989274882436
0.8461069139897223,0.8039176781149266,0.49960960978438623,0.2498074383060279,0.6130771493160533,0.8056717320368062
0.8421833352985447,0.821397871219296,0.45871989424219567,0.21065839850089882,0.6548414610673005,0.8125630234244267
0.8382870793767468,0.7829388061739123,0.5093789865925679,0.25947447981015476,0.5723623811152628,0.7958200765091742
0.8631612839654208,0.8310494268321463,0.49324740070515666,0.24345967348303618,0.6194512187799978,0.8323393093692998
0.8409207895732198,0.825164986139666,0.4521059493475234,0.20442468818027928,0.6292126228139531,0.8134488126998084
0.8499039652505465,0.8270342367056897,0.48541704207581104,0.23589322833472584,0.6539605943935323,0.8120271927535488
0.8507581950144495,0.8176286433734293,0.44163017210461986,0.19508145531875185,0.660088987755059,0.8177670659171871
0.8443347812341658,0.8162844297899016,0.47237172614213074,0.22319365310050568,0.6191898474887503,0.7998608135216608
0.8714027255706466,0.8317717170172413,0.4623347688315356,0.2139109491632976,0.6494995109271343,0.8461860007485127
0.8727005804230785,0.8169019125317648,0.49569120573571107,0.24588354131205023,0.635826807194248,0.8334920290270095
0.8523929675484521,0.8328546639225919,0.44531414971376054,0.19843009529499192,0.6204289175698893,0.8220271715466331
0.8451680903750355,0.8120180057754315,0.469293187020863,0.22057693410264378,0.6432136862183686,0.8104628540698728
0.8667065939480435,0.848012327338676,0.41092316846886695,0.16886109116654033,0.6769033774992268,0.844144358100845
0.8418907140742223,0.8026866977453363,0.4677836917764873,0.21910248033997728,0.6306312437951899,0.7846934881778274
0.8315613925370023,0.7678517121138269,0.5178107185470268,0.26821817480344684,0.5842803425376496,0.7766241626974408
0.8662098284499642,0.845012187392007,0.44788213561503554,0.20068217223165033,0.6697979579494827,0.8342734962638577
0.8558301987410162,0.8199677157372817,0.44657985423118113,0.19962633897879312,0.6607607602357494,0.8183295108068053
0.8532546791628652,0.817934164029558,0.4558183432398046,0.20785457511582803,0.6384784568853438,0.8180885072106784
0.8520939593502863,0.817976224984541,0.47018455186952507,0.2216113615231249,0.6385391075297119,0.8010314330873815
0.8566421177840203,0.8259421540695815,0.4625777853092956,0.21437047157288633,0.6509362779766897,0.8294180656942545
0.8586490969070661,0.8264869249447945,0.4708580926524064,0.22192440724393947,0.6322721171376258,0.8197600560728527
0.8474630400936806,0.8220029934025388,0.45267690749189154,0.20492541386003293,0.6207745457554399,0.8134357135173532
0.8422524954708536,0.7876333926219634,0.48366707934000325,0.2340331782803523,0.6165686523346942,0.7944666341793707
0.8616330916382525,0.8008496377763015,0.4817193317671798,0.23210506614017112,0.6227151530016924,0.8173461388287458
