CI,Pearson,RMSE,Spearman,cmap
0.8628160586759313,0.8278719083836773,0.48988595826547215,0.8252840775638912,ESM
0.8528370797093264,0.8205017946459949,0.4639349576313321,0.8210698420216497,ESM
0.8385549640272864,0.8359858997359075,0.43332047439953314,0.8252446937213658,ESM
0.8389801024697249,0.7899223078803449,0.48091531422031664,0.8002734831670196,ESM
0.8327834873477847,0.8067232033974205,0.4973178232081262,0.8080228723416568,ESM
0.8461247172019962,0.8088770457431638,0.46543659773243967,0.8053275729757794,ESM
0.8534662125448932,0.8322547199898792,0.48955554449681404,0.8188473954500078,ESM
0.8473893573535521,0.8140533485671512,0.4884177904964009,0.8144477504397356,ESM
0.8427569908248992,0.8087531779070204,0.47917404778390255,0.8005461229264635,ESM
0.8455117863224881,0.8328585500474309,0.46431638057527486,0.8287545263668762,ESM
0.836142823604498,0.8313178864060329,0.46069198578649656,0.8022643523846207,ESM
0.8342099672855504,0.8005305640762684,0.48647885484631503,0.7949184775712466,ESM
0.8558839993499342,0.8031247280502969,0.5113404120188353,0.8246716952079676,ESM
0.8521776977718055,0.8318317242957649,0.47278692963807206,0.8163842787656476,ESM
0.8492251071539291,0.7925946198700277,0.4998984803074946,0.8144071232510987,ESM
0.8493795006647459,0.8260704791639261,0.4547777625150065,0.8159717411593417,ESM
0.8526499791228778,0.8405155773181475,0.4569948384084131,0.8150374647882516,ESM
0.8500577519865292,0.8347541945339648,0.43947784579091326,0.8238709033359125,ESM
0.8451360710787744,0.8025915728401122,0.5099853801855647,0.8070119929438405,ESM
0.8570850926178153,0.8093274267254973,0.49140020462822886,0.817954537781414,ESM
0.8463318332039131,0.8335331916409213,0.5201585886805452,0.8234837524508705,ESM
0.844848309400858,0.8087887737878393,0.47084400871194365,0.800602997401631,ESM
0.8556187129814806,0.8058458255120792,0.4932341196070584,0.809723858589018,ESM
0.8364608718048868,0.7948084150434972,0.5021471537153926,0.8024040516057843,ESM
0.8363268031553095,0.797181385964192,0.48348445408441365,0.7809095364148383,ESM
0.8504849559367993,0.8341746554234205,0.46739749579155787,0.8272817208902813,ESM
0.8424111125270803,0.8065247713604277,0.48130662411805725,0.8045241508083597,ESM
0.8352420239050673,0.7959896887191394,0.4640144559727631,0.7974732580816853,ESM
0.8430787099825429,0.7556930922369712,0.5168722914753816,0.8000163150781724,ESM
0.8496816861363495,0.8304785782824732,0.460377297591299,0.8150562772096107,ESM
0.8453507035432478,0.8111743648592502,0.44029061935791036,0.804382294529447,ESM
0.8431762574078719,0.8038336085345286,0.4868842439422207,0.8031966000317187,ESM
0.8596577265194304,0.829062667913175,0.4605277008651975,0.8193817124636924,ESM
0.8409559771732402,0.8203141764832611,0.49670944710477616,0.8147266310368328,ESM
0.8466490871927951,0.8056804356950585,0.47198369448331134,0.8044617999713156,ESM
0.8482908937522958,0.8111846718946941,0.4713996584700289,0.8088748902788184,ESM
0.8559140942294169,0.8452532507308441,0.4557113454286051,0.8254632954608278,ESM
0.8125533419128802,0.768119395701928,0.5397274517244837,0.7648943896898537,ESM
0.8608975606255683,0.8292318140788764,0.4615856336828122,0.8211590771378416,ESM
0.8377389075710241,0.7986197220566096,0.5212535759839166,0.7941308271243362,ESM
