ci,pearson,rmse,mse,rm,spearman
0.8636774456421085,0.8146656155225757,0.4796989421584709,0.23021386016819442,0.6139913195205752,0.8258357919924614
0.8519309809837696,0.8228112098225653,0.4618604807643936,0.21335021454221134,0.6429732656644634,0.8094122200126673
0.8527768023725616,0.823107142706688,0.47179695550592426,0.22264847522664813,0.6197724986800834,0.8156129041114294
0.8454012938082037,0.8092444769887832,0.5292888990891417,0.2820967339786787,0.5924377906289752,0.8015393236179377
0.8573573956663422,0.783861731898066,0.47330924125505414,0.2241198745757822,0.5900319092292053,0.7999868055469918
0.8517398346860747,0.8073460389455924,0.4705514171059122,0.22143332366187454,0.628956876275952,0.8190727155898497
0.8603387809142636,0.827695508679302,0.456845877213328,0.20905938317935566,0.6448035684864154,0.8375317067381814
0.8459724661943914,0.8134142345948624,0.4918928006504693,0.2421941395468535,0.6257941968921449,0.8289437823351484
0.8302004559746422,0.7790108469378811,0.5098628709837705,0.2603186487003168,0.5803845166267729,0.7867997677145909
0.8294527489405118,0.7883350494012343,0.5096845398308112,0.25988200263975564,0.6042001394615831,0.7839483507048924
0.8560412282801809,0.8280584230077389,0.5084571049339095,0.26051803055992406,0.656867712696464,0.8200481110864114
0.8416877156278261,0.8110592675582134,0.4661707882650334,0.21762679638742818,0.6497283846964704,0.794592579554476
0.8430495275483997,0.8091386041881704,0.47987609476125304,0.2305096406978423,0.6292420862874595,0.7973917424326741
0.8452004003555524,0.8131402417832317,0.4998847826820163,0.2509811678503631,0.6206260027574687,0.8054409156279537
0.8400894501670123,0.8069585687370725,0.4830648572556089,0.23361183024857582,0.6190397080664095,0.7914089406528627
0.8445220766189839,0.8168295543261098,0.46313151673894165,0.2145055482398899,0.6538460115760135,0.8118454304197354
0.8427132782307382,0.8197103887529721,0.44875037096948617,0.2013869424285285,0.6493283444920858,0.8222833060114162
0.8472317439221179,0.7838921692896891,0.5233437795476318,0.27406606492831614,0.582433744668065,0.8091941365433337
0.8468231032378505,0.8353236228633864,0.4437303363492782,0.19719164583040608,0.6461411123314874,0.8283563462567215
0.8419492509453557,0.7733899046827087,0.5210076053485858,0.2715107783309421,0.5883401237228801,0.7905167947727855
0.847823692418287,0.8287533720121312,0.4458149169785784,0.19877927876200993,0.664320709413564,0.8185367941599907
0.8518217466698195,0.8156534205346343,0.4485477632864681,0.20126857587079838,0.6544141543613935,0.8171304452947007
0.8399291436275881,0.8323914566759897,0.4619476340150784,0.2137772196253925,0.6456442514681643,0.8129743523281444
0.8502578117806591,0.8210732581277345,0.4767351363049663,0.2273045086295515,0.6534891959559959,0.8167113026907752
0.8430080146462843,0.8294879476297486,0.4639935724940054,0.21533687054435502,0.663188439209498,0.8196479173205306
0.8638260966158394,0.8271159313586728,0.48905405727975926,0.23971656051244827,0.6423230085497913,0.8203445089570209
0.8415826740442686,0.8177594117816595,0.46199811674348973,0.2134431228728523,0.648979907086015,0.8064273344632302
0.8528980834068743,0.820693468394983,0.4714679451188511,0.22229415691501273,0.627914829814659,0.8216562238648955
0.8370449386757071,0.8254199952712741,0.45713354148747376,0.20952120475661232,0.6660105250201045,0.7931520101923285
0.8393093520654825,0.804950131324389,0.4604331448917908,0.2122538360567554,0.6255918780897876,0.8067604870110748
0.8421657200429579,0.8168902854149943,0.5000169357556207,0.2501046906179118,0.641947639519201,0.8182484990051785
0.8338107981381732,0.7653075331570598,0.5469534546999774,0.29931024645703325,0.5769820926500052,0.7872673523649315
0.8466090297790586,0.8138161102321969,0.471229578950256,0.2220640767606263,0.6411749704175023,0.800043920003136
0.8430846700756027,0.7663990556112729,0.4795401687456937,0.23000043442615378,0.5724744736506219,0.785406788572534
0.8633111924179476,0.8046971022135657,0.4761827107213359,0.22698957733568606,0.6333137995250737,0.8371344915759537
0.8465482952151416,0.7825423545231368,0.5315130223784359,0.2829665389957999,0.6087425585449685,0.8068543838729814
0.8410963494714337,0.8093589269860647,0.49447732680298007,0.24461536651506133,0.6389075477392039,0.806917305754034
0.8526853728795475,0.8192055725335115,0.4717825519825576,0.2226443161026642,0.6515509282675017,0.8217435928289136
0.8316505744369147,0.7830218081988559,0.4873859359506234,0.2375818063180106,0.5986532975171709,0.7973266178638387
0.8342866437347011,0.7929620140549652,0.5337543222736658,0.2876380074011431,0.6110658361440717,0.7815900619170028
